list2,
сою,
соя,
зерно,
кукуруз,
масло,
молок,
молоч,
мясн,
мясо,
овощ,
подсолн,
пшениц,
рис,
с/хпрод,
с/хтовар,
с\хпрод,
с\хтовар,
сахар,
сельскпрод,
сельсктовар,
сельхозпрод,
сельхозтовар,
семен,
семечк,
сено,
соев,
фрукт,
яиц,
ячмен,
картоф,
томат,
говя,
свин,
курин,
куриц,
рыб,
алко,
чаи,
кофе,
чипс,
напит,
бакале,
конфет,
колбас,
морож,
с/м,
с\м,
консерв,
пищев,
питан,
сыр,
макарон,
лосос,
треск,
саир,
филе,
хек,
хлеб,
какао,
кондитер,
пиво,
ликер
